value, token
21,двадцать один
21,двадцать первого
22,двадцать два
22,двадцать второго
23,двадцать три
23,двадцать третьего
24,двадцать четыре
24,двадцать четвертого
25,двадцать пять
25,двадцать пятого
26,двадцать шесть
26,двадцать шестого
27,двадцать семь
27,двадцать седьмого
28,двадцать восемь
28,двадцать восьмого
29,двадцать девять
29,двадцать девятого
31,тридцать один
31,тридцать первого
32,тридцать два
32,тридцать второго
33,тридцать три
33,тридцать третьего
34,тридцать четыре
34,тридцать четвертого
35,тридцать пять
35,тридцать пятого
36,тридцать шесть
36,тридцать шестого
37,тридцать семь
37,тридцать седьмого
38,тридцать восемь
38,тридцать восьмого
39,тридцать девять
39,тридцать девятого
41,сорок один
41,сорок первого
42,сорок два
42,сорок второго
43,сорок три
43,сорок третьего
44,сорок четыре
44,сорок четвертого
45,сорок пять
45,сорок пятого
46,сорок шесть
46,сорок шестого
47,сорок семь
47,сорок седьмого
48,сорок восемь
48,сорок восьмого
49,сорок девять
49,сорок девятого
51,пятьдесят один
51,пятьдесят первого
52,пятьдесят два
52,пятьдесят второго
53,пятьдесят три
53,пятьдесят третьего
54,пятьдесят четыре
54,пятьдесят четвертого
55,пятьдесят пять
55,пятьдесят пятого
56,пятьдесят шесть
56,пятьдесят шестого
57,пятьдесят семь
57,пятьдесят седьмого
58,пятьдесят восемь
58,пятьдесят восьмого
59,пятьдесят девять
59,пятьдесят девятого
61,шестьдесят один
61,шестьдесят первого
62,шестьдесят два
62,шестьдесят второго
63,шестьдесят три
63,шестьдесят третьего
64,шестьдесят четыре
64,шестьдесят четвертого
65,шестьдесят пять
65,шестьдесят пятого
66,шестьдесят шесть
66,шестьдесят шестого
67,шестьдесят семь
67,шестьдесят седьмого
68,шестьдесят восемь
68,шестьдесят восьмого
69,шестьдесят девять
69,шестьдесят девятого
71,семьдесят один
71,семьдесят первого
72,семьдесят два
72,семьдесят второго
73,семьдесят три
73,семьдесят третьего
74,семьдесят четыре
74,семьдесят четвертого
75,семьдесят пять
75,семьдесят пятого
76,семьдесят шесть
76,семьдесят шестого
77,семьдесят семь
77,семьдесят седьмого
78,семьдесят восемь
78,семьдесят восьмого
79,семьдесят девять
79,семьдесят девятого
81,восемьдесят один
81,восемьдесят первого
82,восемьдесят два
82,восемьдесят второго
83,восемьдесят три
83,восемьдесят третьего
84,восемьдесят четыре
84,восемьдесят четвертого
85,восемьдесят пять
85,восемьдесят пятого
86,восемьдесят шесть
86,восемьдесят шестого
87,восемьдесят семь
87,восемьдесят седьмого
88,восемьдесят восемь
88,восемьдесят восьмого
89,восемьдесят девять
89,восемьдесят девятого
91,девяносто один
91,девяносто первого
92,девяносто два
92,девяносто второго
93,девяносто три
93,девяносто третьего
94,девяносто четыре
94,девяносто четвертого
95,девяносто пять
95,девяносто пятого
96,девяносто шесть
96,девяносто шестого
97,девяносто семь
97,девяносто седьмого
98,девяносто восемь
98,девяносто восьмого
99,девяносто девять
99,девяносто девятого
